Date,Code,MACD,DMI,PSY_VR,KDJ,WR(s),WR(l),RSI,BIAS,ARBR,BULL,CurrentState,FutureState,PredictState
2023-6-2,300628,Sell,Wait,Wait,Sell,Buy,Buy,Buy,Buy,Wait,Buy,-1,1,1
2023-6-2,300661,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300750,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300751,Wait,Wait,Wait,Wait,Buy,Buy,Buy,Buy,Wait,Wait,1,-1,1
2023-6-2,300759,Wait,Sell,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300760,Wait,Wait,Wait,Wait,Buy,Buy,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,300763,Buy,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300769,Wait,Wait,Wait,Wait,Buy,Buy,Buy,Buy,Wait,Wait,1,-1,1
2023-6-2,300782,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Sell,Wait,Wait,1,1,-1
2023-6-2,300896,Wait,Wait,Wait,Buy,Buy,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300919,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300957,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300979,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,300999,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,000301,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,000333,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,000338,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,003816,Wait,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,-1,-1,1
2023-6-2,000408,Wait,Sell,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Buy,1,1,-1
2023-6-2,000425,Buy,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000538,Wait,Wait,Wait,Wait,Buy,Buy,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000568,Buy,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000596,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,600000,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600009,Wait,Wait,Buy,Wait,Buy,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,600010,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,600011,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,-1,1,-1
